ingredient,unit,price_per_unit
Chickpeas,kg,86.08
Onion,kg,48.17
Tomato,kg,36.37
Oil,L,164.92
Spices,kg,80
Refined Flour,kg,41.41
Yogurt,kg,59.94
Water,L,1
Rice,kg,45.53
Urad Dal,kg,122.24
Dry Peas,kg,80
Semolina,kg,44.89
Vegetables,kg,41.59
Potato,kg,21.89
Peanuts,kg,140
Toor Dal,kg,122.33
Dahi,kg,59.94
Pav,piece,5
Gram Flour,kg,95.44
Chutney,kg,100
Peas,kg,80
Flour,kg,37.45
Green Chilli,kg,80
Egg,egg,8.35
Salt,kg,22.59
Milk,L,59.94
Tea Leaves,kg,265.52
Sugar,kg,64.24
Coffee Powder,kg,500
Culture,kg,200
Fruit,kg,80
Banana,piece,6
Coconut,kg,120
Roasted Gram,kg,100
Mint,kg,100
Coriander,kg,42.22
Wheat Flour,kg,37.45
Yeast,kg,250
Cream,kg,200
Sev,kg,120
