date,day_of_week,month,season,attendance,meal_type,menu,rain,temperature,holiday,exam,campus_event,previous_consumption,previous_surplus,meals_consumed
2010-01-01,4,1,Winter,361,Breakfast,Idli,0,21.7,0,0,0,500,20,296
2010-01-01,4,1,Winter,361,Breakfast,Sambar,0,21.7,0,0,0,296,94,295
2010-01-01,4,1,Winter,361,Breakfast,Pudina Chutney,0,21.7,0,0,0,295,95,152
2010-01-01,4,1,Winter,451,Dinner,Chole,0,21.7,0,0,0,256,228,392
2010-01-01,4,1,Winter,451,Dinner,Bhature,0,21.7,0,0,0,392,96,440
2010-01-01,4,1,Winter,451,Dinner,Dahi,0,21.7,0,0,0,440,48,437
2010-01-01,4,1,Winter,451,Dinner,Onion,0,21.7,0,0,0,437,51,235
2010-01-01,4,1,Winter,448,Lunch,Aloo Samosa,0,21.7,0,0,0,152,238,415
2010-01-01,4,1,Winter,448,Lunch,Dahi,0,21.7,0,0,0,415,69,400
2010-01-01,4,1,Winter,448,Lunch,Pudina Chutney,0,21.7,0,0,0,400,84,275
2010-01-01,4,1,Winter,448,Lunch,Fried Chilli,0,21.7,0,0,0,275,209,256
2010-01-02,5,1,Winter,280,Breakfast,Masala Upma,0,19.6,0,1,0,235,253,214
2010-01-02,5,1,Winter,280,Breakfast,Tea,0,19.6,0,1,0,214,89,235
2010-01-02,5,1,Winter,280,Breakfast,Banana,0,19.6,0,1,0,235,68,210
2010-01-02,5,1,Winter,367,Dinner,Aloo Chop,0,19.6,0,1,0,324,104,336
2010-01-02,5,1,Winter,367,Dinner,Dahi,0,19.6,0,1,0,336,61,331
2010-01-02,5,1,Winter,367,Dinner,Onion,0,19.6,0,1,0,331,66,203
2010-01-02,5,1,Winter,367,Dinner,Sev,0,19.6,0,1,0,203,194,173
2010-01-02,5,1,Winter,396,Lunch,Onion Masala Dosa,0,19.6,0,1,0,210,93,394
2010-01-02,5,1,Winter,396,Lunch,Sambar,0,19.6,0,1,0,394,34,377
2010-01-02,5,1,Winter,396,Lunch,Coconut Chutney,0,19.6,0,1,0,377,51,247
2010-01-02,5,1,Winter,396,Lunch,Dahi,0,19.6,0,1,0,247,181,324
2010-01-03,6,1,Winter,263,Breakfast,Idli,0,18.5,0,0,0,173,224,183
2010-01-03,6,1,Winter,263,Breakfast,Sambar,0,18.5,0,0,0,183,102,205
2010-01-03,6,1,Winter,263,Breakfast,Coconut Chutney,0,18.5,0,0,0,205,80,108
2010-01-03,6,1,Winter,322,Dinner,Vada Pav,0,18.5,0,0,0,208,168,294
2010-01-03,6,1,Winter,322,Dinner,Sev,0,18.5,0,0,0,294,54,181
2010-01-03,6,1,Winter,322,Dinner,Onion,0,18.5,0,0,0,181,167,108
2010-01-03,6,1,Winter,322,Dinner,Dahi,0,18.5,0,0,0,108,240,271
2010-01-03,6,1,Winter,348,Lunch,Papdi Chaat,0,18.5,0,0,0,108,177,274
2010-01-03,6,1,Winter,348,Lunch,Dahi,0,18.5,0,0,0,274,102,306
2010-01-03,6,1,Winter,348,Lunch,Sev,0,18.5,0,0,0,306,70,203
2010-01-03,6,1,Winter,348,Lunch,Pudina Chutney,0,18.5,0,0,0,203,173,208
2010-01-04,0,1,Winter,398,Breakfast,Pav,0,14.6,0,0,0,271,77,317
2010-01-04,0,1,Winter,398,Breakfast,Tea,0,14.6,0,0,0,317,113,398
2010-01-04,0,1,Winter,398,Breakfast,Sev,0,14.6,0,0,0,398,32,180
2010-01-04,0,1,Winter,455,Dinner,Vada Pav,0,14.6,0,0,0,211,271,383
2010-01-04,0,1,Winter,455,Dinner,Sev,0,14.6,0,0,0,383,109,244
2010-01-04,0,1,Winter,455,Dinner,Onion,0,14.6,0,0,0,244,248,172
2010-01-04,0,1,Winter,455,Dinner,Dahi,0,14.6,0,0,0,172,320,378
2010-01-04,0,1,Winter,446,Lunch,Chole,0,14.6,0,0,0,180,250,402
2010-01-04,0,1,Winter,446,Lunch,Bhature,0,14.6,0,0,0,402,80,446
2010-01-04,0,1,Winter,446,Lunch,Onion,0,14.6,0,0,0,446,36,211
2010-01-05,1,1,Winter,318,Breakfast,Onion Masala Dosa,0,21.5,0,0,0,378,114,289
2010-01-05,1,1,Winter,318,Breakfast,Sambar,0,21.5,0,0,0,289,55,291
2010-01-05,1,1,Winter,318,Breakfast,Coconut Chutney,0,21.5,0,0,0,291,53,144
2010-01-05,1,1,Winter,382,Dinner,Chole,0,21.5,0,0,0,236,188,336
2010-01-05,1,1,Winter,382,Dinner,Bhature,0,21.5,0,0,0,336,77,382
2010-01-05,1,1,Winter,382,Dinner,Onion,0,21.5,0,0,0,382,31,188
2010-01-05,1,1,Winter,392,Lunch,Papdi Chaat,0,21.5,0,0,0,144,200,321
2010-01-05,1,1,Winter,392,Lunch,Dahi,0,21.5,0,0,0,321,103,344
2010-01-05,1,1,Winter,392,Lunch,Sev,0,21.5,0,0,0,344,80,236
2010-01-05,1,1,Winter,392,Lunch,Fried Chilli,0,21.5,0,0,0,236,188,236
2010-01-06,2,1,Winter,353,Breakfast,Masala Upma,0,23.8,0,0,0,188,225,238
2010-01-06,2,1,Winter,353,Breakfast,Tea,0,23.8,0,0,0,238,144,303
2010-01-06,2,1,Winter,353,Breakfast,Banana,0,23.8,0,0,0,303,79,268
2010-01-06,2,1,Winter,449,Dinner,Onion Masala Dosa,0,23.8,0,0,0,259,249,404
2010-01-06,2,1,Winter,449,Dinner,Sambar,0,23.8,0,0,0,404,81,374
2010-01-06,2,1,Winter,449,Dinner,Coconut Chutney,0,23.8,0,0,0,374,111,227
2010-01-06,2,1,Winter,449,Dinner,Dahi,0,23.8,0,0,0,227,258,355
2010-01-06,2,1,Winter,470,Lunch,Papdi Chaat,0,23.8,0,0,0,268,114,383
2010-01-06,2,1,Winter,470,Lunch,Dahi,0,23.8,0,0,0,383,125,429
2010-01-06,2,1,Winter,470,Lunch,Sev,0,23.8,0,0,0,429,79,314
2010-01-06,2,1,Winter,470,Lunch,Fried Chilli,0,23.8,0,0,0,314,194,259
2010-01-07,3,1,Winter,317,Breakfast,Cream Bun,0,20.3,0,0,0,355,130,234
